REG1,SLEAK,SSLEEP,BBFSLEEP,LNAOUT,IDD1,IDD2,IDD3,LNA_GAIN,LNA_NF,LNA_IIP3
87,-3.36E-08,0.00000203,6.92E-10,0.009,0.0566,0.00714,0.00254,16.6,1.27,10.7
87,-0.000000119,0.00000143,1.08E-08,0.0097,0.0582,0.00721,0.00279,16.6,1.46,11
87,-0.000000144,0.00000206,1.08E-08,0.00943,0.0581,0.0069,0.00267,16.4,1.51,10.8
87,1.51E-08,0.00000203,6.92E-10,0.00896,0.0564,0.00696,0.00253,16.6,1.01,10.7
87,-0.000000119,0.00000143,1.08E-08,0.0101,0.0602,0.00784,0.00287,16.5,1.33,11
87,-0.000000144,0.00141,1.08E-08,0.00972,0.0576,0.00667,0.00276,16.5,1.53,11.1
87,-9.26E-09,0.00000265,6.92E-10,0.00944,0.0559,0.00675,0.00267,16.6,1.31,10.8
87,-0.000000144,0.00000143,1.08E-08,0.00954,0.0571,0.00692,0.00274,16.5,1.32,11.2
87,-9.48E-08,0.00000143,1.08E-08,0.00955,0.0578,0.00739,0.00274,16.5,1.25,11.1
87,-3.36E-08,0.00000203,6.92E-10,0.00899,0.0549,0.0068,0.00256,16.6,1.22,10.6
87,-0.000000144,0.00000206,1.08E-08,0.0101,0.0581,0.0073,0.00294,16.6,1.36,11.1
87,-0.000000168,0.00000143,1.08E-08,0.00926,0.0562,0.00681,0.00265,16.5,1.52,11
87,1.51E-08,0.00000203,6.92E-10,0.0092,0.0574,0.0073,0.00257,16.5,1.63,10.9
87,-0.000000119,0.00000206,1.08E-08,0.00959,0.0575,0.00741,0.00276,16.5,1.44,10.9
87,-0.000000119,0.00000143,1.08E-08,0.00982,0.0594,0.00669,0.00289,16.5,1.5,11
87,-9.26E-09,0.00000203,6.92E-10,0.00941,0.0576,0.00735,0.00265,16.5,1.42,11
87,-0.000000119,0.00000143,1.08E-08,0.00978,0.0604,0.00805,0.00279,16.4,1.4,11.1
87,-0.000000119,0.00000206,1.08E-08,0.00953,0.0572,0.0068,0.00274,16.5,1.4,11.1
87,3.95E-08,0.00000203,6.92E-10,0.00913,0.056,0.00692,0.00262,16.7,1.21,10.8
87,-9.48E-08,0.00000206,1.08E-08,0.00907,0.0554,0.00688,0.00264,16.4,2.1,10.9
87,-9.48E-08,0.00000143,1.08E-08,0.00973,0.0573,0.00692,0.00274,16.6,1.28,11.1
87,-9.26E-09,0.00000203,6.92E-10,0.00914,0.0558,0.00661,0.00257,16.6,1.51,10.9
87,-0.000000119,0.00000143,1.08E-08,0.00942,0.0572,0.00731,0.00273,16.5,1.54,11
87,-0.000000144,0.00000143,1.08E-08,0.00945,0.0575,0.00755,0.00273,16.5,1.4,10.9
87,-3.36E-08,0.00000141,6.92E-10,0.00956,0.0583,0.00735,0.0027,16.6,1.25,10.9
87,-0.000000168,0.00000143,1.08E-08,0.0101,0.0597,0.00761,0.00284,16.6,1.54,10.9
87,-9.48E-08,0.000000814,0.000000587,0.0101,0.039,0.00719,0.00283,16.5,1.45,11.4
87,-0.000000058,0.00000203,6.92E-10,0.0099,0.0501,0.00698,0.00277,16.7,2.08,10.7
87,-0.000000119,0.00000206,0.000000111,0.00941,0.032,0.00707,0.00267,16.5,1.32,11.2
87,-7.04E-08,0.00000143,1.08E-08,0.0102,0.0591,0.00726,0.00287,16.5,1.57,11
87,-9.26E-09,0.00000203,6.92E-10,0.00932,0.0555,0.00612,0.00265,16.6,1.51,11
87,-7.04E-08,0.00000206,1.08E-08,0.00988,0.058,0.00682,0.00279,16.6,1.29,10.8
87,-0.000000168,0.000000814,1.08E-08,0.00927,0.0579,0.00747,0.00266,16.3,1.2,11.2
87,-3.36E-08,0.00000265,6.92E-10,0.00903,0.0563,0.00707,0.00259,16.6,1.39,10.8
255,-0.000000144,0.00508,0.000000587,-0.0000213,0.0536,0.00689,0.000025,-18.9,22.3,9.04
87,-0.000000168,0.00000143,1.08E-08,0.00947,0.0587,0.00768,0.00274,16.3,1.37,11.3
87,1.51E-08,0.00000203,6.92E-10,0.00954,0.0578,0.00712,0.0027,16.5,1.37,11
87,-0.000000119,0.00000143,1.08E-08,0.0104,0.0589,0.00733,0.00293,16.5,1.46,11.2
255,-9.48E-08,0.00508,1.08E-08,-0.0000137,0.0284,0.00241,0.0000213,-18.9,21.9,11.9
255,-0.000000058,0.00107,6.92E-10,0.000152,0.00562,0.00394,9.86E-08,-53.6,         -INF,-4.1
255,-0.000000144,0.00132,-1.43E-08,-0.0000326,0.00157,0.000651,-0.00000133,-18.7,32,11.8
255,-0.000000119,0.00508,0.000000587,-0.00000995,0.0457,0.00274,0.0000326,-3.74,7.79,17.5
255,1.51E-08,0.0000735,6.92E-10,0.000156,0.000305,0.000621,9.86E-08,-18.6,22.3,12.6
255,-0.000000119,0.00508,1.08E-08,0.0000202,0.0364,0.00364,0.0000514,-18.7,22.8,14.6
255,-0.000000144,0.000502,1.08E-08,-0.0000326,0.000639,0.000651,-0.00000133,-18.9,23.4,13.1
255,-9.26E-09,0.00509,6.92E-10,0.000175,0.0121,0.00212,0.0000227,-18.7,22.7,12.5
255,-0.000000144,0.00119,1.08E-08,-0.0000326,0.00151,0.000651,-0.00000133,-18.9,22.5,14.5
87,-0.000000168,0.00000206,1.08E-08,0.00994,0.0587,0.00704,0.00281,16.5,1.47,11.3
255,6.39E-08,0.00509,6.92E-10,0.000156,0.00942,0.000625,9.86E-08,-18.9,21.8,11.5
87,-0.000000119,0.00000143,1.08E-08,0.00955,0.0585,0.00761,0.00276,16.4,1.3,11.2
87,-0.000000168,0.00000143,1.08E-08,0.0105,0.0596,0.00699,0.00292,16.5,1.45,11.3
255,-9.26E-09,0.00509,0.000000602,0.000235,0.0505,0.00481,0.0000867,-3.78,7.9,15.6
255,-0.000000168,0.000803,1.08E-08,-0.0000326,0.00103,0.000651,-0.00000133,-18.8,22.6,11.7
87,-0.000000168,0.00000143,1.08E-08,0.00942,0.0578,0.00691,0.00262,16.3,1.59,11.4
87,-3.36E-08,0.00000203,6.92E-10,0.00995,0.0576,0.00693,0.00281,16.6,1.41,11
87,-0.000000144,0.00000206,1.08E-08,0.0105,0.0604,0.00713,0.00296,16.4,1.72,11.5
87,-0.000000168,0.00000143,1.08E-08,0.0105,0.0598,0.00752,0.00302,16.7,1.49,10.9
87,-9.26E-09,0.00000203,6.92E-10,0.00958,0.057,0.00689,0.0027,16.6,1.4,11
87,-0.000000119,0.00000143,1.08E-08,0.00989,0.0584,0.00707,0.00283,16.5,1.64,11.3
87,-9.48E-08,0.00000143,1.08E-08,0.0104,0.0595,0.00712,0.00296,16.5,1.5,11.3
